category_id,category_name_ko
1,디지털기기
2,생활가전
3,가구/인테리어
4,생활/주방
5,유아동
6,유아도서
7,여성의류
8,여성잡화
9,남성패션/잡화
10,뷰티/미용
11,스포츠/레저
12,취미/게임/음반
13,도서
14,티켓/교환권
15,가공식품
16,건강기능식품
17,반려동물용품
18,식물
19,자동차/자동차부품
20,기타 중고물품
21,삽니다
273,건강/취미 도서
274,경제/경영 도서
275,대학교재
276,수험서/자격증
277,만화책
278,라이트노벨
279,사회/정치 도서
280,인문/예술 도서
281,문학
282,에세이
283,여행책
284,역사책
285,요리책
286,자기계발
287,언어/외국어
288,잡지
289,종교/철학 도서
290,참고서
291,컴퓨터/IT 도서
292,과학/공학 도서
293,해외원서
294,기타 도서
99,꽃
100,화병/화분
101,원예소품
102,식물
103,식물영양제/비료
104,씨앗/모종
105,자갈/모래/흙
106,농기구
133,아동 의류
134,아동 신발
135,아동 잡화
136,아동 스포츠 용품
137,유아 의류
138,유아 잡화
139,기저귀
140,물티슈
141,유아 외출용품
142,수유용품
143,유아동 자전거
144,유모차
145,유아가구
146,이유식용품
147,장난감
148,유아동 목욕용품
149,안전용품
150,유아 침구
151,카시트
323,과자/간식
324,라면/면류
325,유제품
326,조미료/양념
327,즉석조리식품
328,커피/차
329,음료
330,통조림
331,식용유
332,잼
48,TV
49,청소기
50,냉장고
51,세탁기/건조기
52,겨울 가전
53,공기청정기
54,제습기/가습기
55,보일러/온수기
56,냉방기기
57,오븐/전자레인지
58,전기밥솥
59,전기그릴
60,와인셀러
61,믹서기
62,에어프라이어
63,인덕션/가스레인지
64,전기포트
65,정수기
66,제빙기
67,커피머신
68,토스터기
69,식기세척기
70,기타 주방가전
71,의류 가전
72,욕실 가전
73,멀티탭
74,미용 가전
75,건강기기
159,니트/가디건
160,맨투맨/후드
161,블라우스/셔츠
162,티셔츠
163,아우터
164,팬츠
165,레깅스
166,스커트
167,원피스
168,운동복
169,속옷
170,홈웨어
171,전통 의상
172,수영복
173,유니폼/코스튬
174,정장
175,여성 골프웨어
176,여성 스포츠웨어
177,가방
178,모자
179,벨트
180,아이웨어
181,스카프
182,겨울 패션 소품
183,시계
184,양말
185,장갑
186,브로치
187,쥬얼리
188,지갑
189,키링
190,신발
152,유아동 문학책
153,유아동 만화
154,유아 학습도서
155,유아 그림책
156,전래동화
157,토이북
158,유아 도서
220,네일용품
221,베이스 메이크업
222,아이 메이크업
223,치크 메이크업
224,립 메이크업
225,기타 메이크업
226,클렌징
227,필링 용품
228,피부관리기기
229,뷰티소품
230,스킨케어
231,바디케어
232,향수
233,헤어 용품
234,남성 화장품
235,기타 바디케어 용품
107,건전지
108,공구
109,마스크/의약외품
110,성인기저귀
111,생리대
112,화장지
113,찜질용품
114,우산
115,와인용품
116,생활잡화
117,세탁용품
118,욕실용품
119,청소용품
120,칫솔/치약
121,휴지통
122,식기류
123,조리도구
124,보관용기
125,주방용품
126,주방 일회용품
127,주전자/티포트
128,주방잡화
129,정수기
130,제습/방향/탈취제
131,호신용품
132,문구/사무용품
22,PC/데스크탑
23,PC부품
24,저장장치
25,노트북
26,노트북 주변용품
27,네비게이션
28,도어락
29,드론
30,키보드/마우스
31,모니터
32,빔프로젝터
33,스마트워치
34,스피커
35,차량 악세서리
36,카메라
37,카메라 악세서리
38,태블릿PC
39,태블릿 악세서리
40,프린터/복합기
41,이어폰
42,헤드셋
43,휴대폰
44,휴대폰 악세서리
45,마이크
46,오디오/플레이어
47,공유기
236,골프용품
237,낚시용품
238,농구용품
239,당구용품
240,등산용품
241,클라이밍용품
242,배드민턴용품
243,수상레저용품
244,수영용품
245,스케이트보드
246,스키용품
247,야구용품
248,축구용품
249,탁구용품
250,볼링용품
251,테니스용품
252,스쿼시 용품
253,복싱 용품
254,태권도 용품
255,검도 용품
256,기타 스포츠
257,홈트레이닝
258,캠핑용품
259,여행용품
260,자전거
261,자전거용품
295,숙박권
296,공연 관람권
297,영화 관람권
298,전시회 관람권
299,놀이공원/워터파크 입장권
300,상품권
301,스포츠 관람권
302,e쿠폰
303,커피/식음료 교환권
304,기타 티켓
333,유산균
334,비타민
335,영양제
336,홍삼
337,건강즙
338,건강환/정
339,기타 건강기능식품
305,강아지 외출용품
306,고양이 외출용품
307,강아지 배변용품
308,고양이 배변용품
309,강아지 푸드
310,고양이 푸드
311,강아지 치아 용품
312,고양이 치아 용품
313,반려동물 가구
314,기타 강아지 용품
315,기타 고양이 용품
316,반려동물 밥그릇
317,관상어 용품
318,곤충 용품
319,파충류 용품
320,소동물 용품
321,기타 가축용품
322,기타 반려동물 용품
76,러그/카페트
77,매트
78,커튼/블라인드
79,홈패브릭
80,배게/이불
81,쿠션/방석
82,인테리어 소품
83,조명
84,홈프레그런스
85,소파
86,침대
87,매트리스/토퍼
88,책상/테이블
89,선반
90,수납/정리용품
91,수납장
92,진열장/책장
93,옷장
94,의자
95,거울
96,파티션
97,화장대
98,야외가구
191,니트/가디건
192,맨투맨/후드
193,셔츠
194,티셔츠
195,아우터
196,바지
197,운동복
198,속옷
199,홈웨어
200,전통 의상
201,수영복
202,유니폼
203,코스튬
204,정장
205,가방
206,넥타이
207,모자
208,벨트
209,쥬얼리
210,아이웨어
211,스카프
212,겨울 패션 소품
213,시계
214,양말
215,장갑
216,지갑
217,신발
218,골프웨어
219,남성 스포츠웨어
262,게임
263,게임기
264,성인 완구
265,보드게임
266,뜨개질용품
267,미술품
268,수집품
269,악기
270,음향 기기
271,음반
272,DVD
340,중고차
341,클래식 카
342,차량 부품/액세서리
343,타이어
344,모토사이클
345,ATV/설상차
346,보트
347,RV/캠핑카/트레일러 
348,중장비
480,스마트 TV
481,기타 TV
482,TV 리모콘
1246,DVD/블루레이
625,꽃
1366,잼
891,여성 백팩
892,클러치백
893,숄더백
894,크로스백
895,토트백
896,에코백
897,파우치
898,보스턴 가방
899,캐리어
900,가방 악세서리
901,기타 여성가방
